user_id,age,gender,country,post_id,post_type,post_category,likes,comments,shares,watch_time_sec,impression_count,posted_at,follower_count,is_verified,device_type,sentiment,hashtags,engagement_rate,hashtag_count,engagement_score,year,month,month_name,day_of_week,country_avg_impressions,age_group
25795,43.0,female,brazil,496713,image,fitness,7011.0,354.0,1157.0,5726,44650,2022-12-17,81734,False,mobile,negative,#foodie #travel #love,0.190862262,3,8522.0,2022,12,December,Saturday,49193.1746031746,36–45
10860,33.0,male,brazil,157326,reel,food,11750.0,2606.0,1807.0,5947,80216,2023-06-02,5963,False,mobile,negative,#fitness,0.201493468,1,16163.0,2023,6,June,Friday,49193.1746031746,26–35
86820,32.0,female,uk,109864,text,food,4862.0,344.0,955.0,6946,44858,2023-05-07,501783,False,tablet,positive,#foodie,0.137344509,1,6161.0,2023,5,May,Sunday,51119.39350912779,26–35
64886,51.0,other,france,848877,text,fitness,5350.0,1083.0,1049.0,229,70455,2023-02-12,480212,False,mobile,negative,#music #foodie #fun,0.106195444,3,7482.0,2023,2,February,Sunday,51727.67338709677,46–55
16265,34.0,other,uk,449706,image,fitness,12682.0,2735.0,1300.0,4798,6019,2023-05-23,383936,False,mobile,negative,#travel,2.777371656,1,16717.0,2023,5,May,Tuesday,51119.39350912779,26–35
92386,16.0,other,canada,174310,video,tech,12535.0,1790.0,99.0,1427,24893,2023-09-16,684761,False,desktop,positive,#fitness,0.579440003,1,14424.0,2023,9,September,Saturday,48703.150097465885,Under 18
47194,25.0,male,japan,481598,video,travel,11703.0,2276.0,1465.0,6287,96327,2022-04-15,519759,True,tablet,negative,#music,0.16032888,1,15444.0,2022,4,April,Friday,49616.13559322034,18–25
97498,57.0,female,canada,343415,image,travel,9611.0,146.0,424.0,1699,68446,2023-12-20,698739,False,desktop,neutral,#travel #music #fitness,0.148744996,3,10181.0,2023,12,December,Wednesday,48703.150097465885,56+
54131,54.0,female,uk,907449,image,fashion,10105.5,2379.0,1897.0,5650,36283,2023-07-06,615809,True,desktop,negative,#music #fun #fitness,0.533913954,3,14381.5,2023,7,July,Thursday,51119.39350912779,46–55
70263,62.0,female,australia,495037,video,lifestyle,14106.0,2480.0,1053.0,3969,87972,2022-11-16,452146,False,tablet,neutral,#lifestyle #love,0.200506979,2,17639.0,2022,11,November,Wednesday,48346.38336713996,56+
